COVID-19 Vaccinations in the United States
Date generated: Mon Feb 08 2021 13:29:19 GMT-0500 (Eastern Standard Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,248500,150934,33969,20632,109890,15022,40812,5579
Alabama,804100,467636,16400,9537,378514,7720,88453,1804
Arkansas,540050,401664,17895,13310,304604,10094,94058,3117
American Samoa,29450,12259,52883,22013,9779,17560,2478,4450
Arizona,1186000,841018,16294,11554,678697,9324,161324,2216
Bureau of Prisons,37050,40333,N/A,N/A,26410,0,13826,0
California,6963500,4682862,17624,11852,3811715,9647,847993,2146
Colorado,991075,751960,17210,13058,539961,9376,207951,3611
Connecticut,740300,542414,20764,15214,406697,11407,127194,3568
District of Columbia,166950,108475,23656,15370,75351,10677,26957,3820
Dept of Defense,978500,632927,N/A,N/A,495849,0,127265,0
Delaware,161525,126650,16588,13006,100736,10345,25179,2586
Florida,3791925,2607527,17655,12141,1965590,9152,629556,2931
Federated States of Micronesia,21900,7449,21130,7187,7310,7053,112,108
Georgia,1688075,1167738,15899,10998,923282,8696,219840,2071
Guam,51300,29719,30947,17928,23693,14293,5838,3522
Hawaii,263000,194035,18575,13704,142259,10047,42472,3000
Iowa,510550,345350,16182,10946,252349,7998,89506,2837
Idaho,266475,195591,14911,10945,149231,8351,35910,2009
Indian Health Svc,492875,291338,N/A,N/A,214822,0,72334,0
Illinois,2089050,1457693,16486,11503,1131846,8932,299201,2361
Indiana,1118350,749771,16612,11137,593266,8812,156083,2318
Kansas,492250,303094,16897,10404,232575,7983,68565,2354
Kentucky,747000,564682,16720,12639,434294,9721,127793,2860
Louisiana,769750,614041,16558,13209,436190,9383,176580,3798
Massachusetts,1247600,806376,18101,11699,630154,9143,174437,2531
Maryland,1029725,683305,17032,11302,531771,8796,150844,2495
Maine,254550,178449,18937,13275,132273,9840,44447,3307
Marshall Islands,21000,4907,35951,8401,4412,7553,457,782
Michigan,1639575,1282375,16417,12841,938279,9395,328801,3292
Minnesota,950250,745290,16850,13215,541133,9595,160794,2851
Missouri,961525,643439,15667,10484,490686,7995,146137,2381
Northern Mariana Islands,29650,11915,52125,20947,7860,13818,4048,7116
Mississippi,515450,327429,17319,11002,267797,8998,59325,1993
Montana,163675,139273,15314,13031,102365,9578,36596,3424
North Carolina,1718275,1274361,16383,12151,999151,9527,273763,2610
North Dakota,131625,129780,17272,17030,87633,11499,38417,5041
Nebraska,346375,234061,17906,12100,165037,8532,67636,3496
New Hampshire,257700,166603,18953,12253,119763,8808,46071,3388
New Jersey,1480825,1094886,16672,12327,822080,9255,221465,2493
New Mexico,364875,342786,17401,16348,251082,11974,87916,4193
Nevada,427800,346685,13889,11255,278091,9028,66755,2167
New York State,3378300,2418074,17366,12430,1767666,9087,554262,2849
Ohio,1901750,1346320,16269,11518,1038595,8885,306072,2618
Oklahoma,734625,586054,18565,14811,431499,10905,151019,3817
Oregon,734950,554440,17425,13145,412660,9784,139700,3312
Pennsylvania,2292500,1441358,17907,11259,1108626,8660,328907,2569
Puerto Rico,624025,299694,19539,9384,229133,7175,69224,2168
Rhode Island,192300,120484,18152,11373,85037,8027,35402,3342
Republic of Palau,9200,3467,51377,19361,3109,17362,358,1999
South Carolina,684700,585692,13298,11376,460511,8944,119206,2315
South Dakota,161150,133068,18216,15042,92615,10469,40368,4563
Tennessee,1156975,805720,16942,11798,554016,8112,248911,3645
Texas,4402275,3322062,15182,11457,2512804,8666,806885,2783
Utah,493525,506629,15394,15803,304991,9513,104274,3253
Virginia,1387775,1135639,16259,13305,897049,10510,209104,2450
Veterans Health,1733525,1258957,N/A,N/A,952628,0,305197,0
Virgin Islands,20625,9529,19703,9103,7014,6700,2515,2403
Vermont,116075,90328,18602,14476,63024,10100,27144,4350
Washington,1208600,937926,15872,12317,731739,9609,193678,2543
Wisconsin,926300,763252,15909,13109,595912,10235,159160,2734
West Virginia,357000,323387,19920,18045,218266,12179,104711,5843
Wyoming,101650,76457,17563,13211,58775,10155,16729,2890
