Index,Strike,Bid.1_x,Ask.1_x,Bid.1_y,Ask.1_y,Bid.1,Ask.1,
0,1800.0,0.05,0.15,4.8,5.2,11.1,11.9,
1,2000.0,0.15,0.25,6.4,6.9,15.2,16.0,
2,2100.0,0.2,0.3,7.5,7.9,17.8,18.6,
2500.0,0.8,0.95,14.2,14.7,33.2,34.0,
4,2600.0,1.0,1.2,16.9,17.4,38.7,39.5,
5,2700.0,1.3,1.5,20.1,20.7,45.0,46.1,
6,2800.0,1.65,1.85,24.0,24.6,52.3,53.2,
7,2950.0,2.4,2.6,31.4,32.1,65.3,66.2,
8,3000.0,2.7,2.95,34.3,35.0,70.2,71.3,
9,3050.0,3.0,3.3,37.5,38.2,75.6,76.7,
10,3100.0,3.5,3.8,41.0,41.7,81.1,82.4,
11,3125.0,3.7,4.0,42.9,43.6,84.2,85.4,
12,3150.0,4.0,4.3,44.8,45.5,87.3,88.5,
