Issuance Date,Maturity Date,Coupon Rate,First Coupon Payment Date,Type,Calendar Date,Price
11/08/18,01/02/19,0,,4,12/31/18,99.98866667
01/04/18,01/03/19,0,,4,12/31/18,99.98204167
11/15/18,01/08/19,0,,4,12/31/18,99.95011111
07/12/18,01/10/19,0,,4,12/31/18,99.94027778
11/23/18,01/15/19,0,,4,12/31/18,99.90520833
07/19/18,01/17/19,0,,4,12/31/18,99.89209722
11/29/18,01/22/19,0,,4,12/31/18,99.85944444
07/26/18,01/24/19,0,,4,12/31/18,99.84750000
01/02/19,01/29/19,0,,4,12/31/18,99.80706944
02/01/18,01/31/19,0,,4,12/31/18,99.80840278
12/11/18,02/05/19,0,,4,12/31/18,99.76050000
08/09/18,02/07/19,0,,4,12/31/18,99.75247222
12/18/18,02/12/19,0,,4,12/31/18,99.71273611
08/16/18,02/14/19,0,,4,12/31/18,99.70625000
12/26/18,02/19/19,0,,4,12/31/18,99.67291667
08/23/18,02/21/19,0,,4,12/31/18,99.66019444
01/02/19,02/26/19,0,,4,12/31/18,99.61920833
03/01/18,02/28/19,0,,4,12/31/18,99.61486111
01/08/19,03/05/19,0,,4,12/31/18,99.56888889
09/06/18,03/07/19,0,,4,12/31/18,99.57054167
09/13/18,03/14/19,0,,4,12/31/18,99.52448611
09/20/18,03/21/19,0,,4,12/31/18,99.48722222
03/29/18,03/28/19,0,,4,12/31/18,99.44054167
10/04/18,04/04/19,0,,4,12/31/18,99.37202778
10/11/18,04/11/19,0,,4,12/31/18,99.35331944
10/18/18,04/18/19,0,,4,12/31/18,99.29050000
04/26/18,04/25/19,0,,4,12/31/18,99.23173611
11/01/18,05/02/19,0,,4,12/31/18,99.18497222
11/08/18,05/09/19,0,,4,12/31/18,99.14358333
11/15/18,05/16/19,0,,4,12/31/18,99.08766667
05/24/18,05/23/19,0,,4,12/31/18,99.04567361
11/29/18,05/30/19,0,,4,12/31/18,98.98125000
12/06/18,06/06/19,0,,4,12/31/18,98.94897222
12/13/18,06/13/19,0,,4,12/31/18,98.89983333
06/21/18,06/20/19,0,,4,12/31/18,98.84575000
12/27/18,06/27/19,0,,4,12/31/18,98.80097222
06/30/17,06/30/19,1.25,12/31/17,2,12/31/18,99.38671875
01/03/19,07/05/19,0,,4,12/31/18,98.71608333
07/19/18,07/18/19,0,,4,12/31/18,98.63463889
08/16/18,08/15/19,0,,4,12/31/18,98.41415278
09/13/18,09/12/19,0,,4,12/31/18,98.25395833
10/11/18,10/10/19,0,,4,12/31/18,98.03668750
11/08/18,11/07/19,0,,4,12/31/18,97.82300000
12/06/18,12/05/19,0,,4,12/31/18,97.62935417
01/02/18,12/31/19,1.875,06/30/18,2,12/31/18,99.27734375
06/30/15,06/30/20,1.625,12/31/15,2,12/31/18,98.67187500
12/31/18,12/31/20,2.5,06/30/19,2,12/31/18,100.01953125
06/30/16,06/30/21,1.125,12/31/16,2,12/31/18,96.81250000
12/31/16,12/31/21,2,06/30/17,2,12/31/18,98.68750000
06/30/17,06/30/22,1.75,12/31/17,2,12/31/18,97.58593750
12/31/15,12/31/22,2.125,06/30/16,2,12/31/18,98.61718750
06/30/18,06/30/23,2.625,12/31/18,2,12/31/18,100.54687500
12/31/18,12/31/23,2.625,06/30/19,2,12/31/18,100.52343750
06/30/17,06/30/24,2,12/31/17,2,12/31/18,97.27343750
01/02/18,12/31/24,2.25,06/30/18,2,12/31/18,98.27343750
06/30/18,06/30/25,2.75,12/31/18,2,12/31/18,101.02343750
12/31/18,12/31/25,2.625,06/30/19,2,12/31/18,100.25000000
